,split_count,total_gain
f_04,3085,26534.677500916645
f_20,2894,21256.417912333272
f_21,3283,16803.89073725231
f_08,1934,13923.82142810896
f_12,2046,12984.417285115458
f_01,2401,12004.431442496367
f_23,3187,11434.480685949326
f_02,1647,6884.251849686727
f_16,2198,6828.293437785469
f_19,1874,6376.360804865137
f_22,1715,5396.701482344419
f_14,1830,3653.673044582829
f_00,802,559.1954682003707
f_24,682,514.1883291276172
f_05,785,514.1407602513209
f_13,781,493.9590515103191
f_09,745,493.29689889773726
f_03,649,489.67327577620745
f_18,781,481.4796670144424
f_15,699,475.1595848342404
f_11,735,461.4222342837602
f_10,622,428.83417249750346
f_17,720,410.91893403138965
f_06,635,330.08026541396976
f_07,470,283.32646012306213
