,split_count,total_gain
f_08,2480,636052949.1865597
f_16,2450,607578221.0240154
f_02,2280,468509921.81195736
f_19,2510,370174018.30301285
f_23,2141,162378118.46703148
f_09,2002,87787819.43029785
f_01,1734,84053495.16938019
f_11,1271,6390098.936449051
f_04,752,1386199.3984146118
f_03,832,1229312.1850852966
f_20,801,1158809.370048523
f_24,830,1051288.054178238
f_18,889,930617.817905426
f_12,900,908947.531580925
f_07,853,890606.571849823
f_05,823,871936.4047117233
f_21,779,866611.3501939774
f_06,859,857518.7274360657
f_10,817,829253.2791137695
f_13,830,686222.4965829849
f_17,875,658653.9167957306
f_22,895,622024.2603693008
f_15,826,578229.2890224457
f_00,796,550742.2597007751
f_14,775,304196.4792995453
